Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=1 um
2,0.6530,3.572815204866E+01,1.361623026040E-01,9.6220
2,0.6540,3.565399761958E+01,1.350577406900E-01,9.6073
2,0.6550,3.558018458201E+01,1.339565514841E-01,9.5926
2,0.6560,3.550578171993E+01,1.328587195624E-01,9.5780
2,0.6570,3.543241399364E+01,1.317642295948E-01,9.5634
2,0.6580,3.535926265641E+01,1.306730663444E-01,9.5489
2,0.6590,3.528638925270E+01,1.295852146669E-01,9.5344
2,0.6600,3.521327015026E+01,1.285006595096E-01,9.5200
2,0.6610,3.514045867048E+01,1.275885851522E-01,9.5056
2,0.6620,3.506901857847E+01,1.266792663065E-01,9.4912
2,0.6630,3.499784949875E+01,1.257726905041E-01,9.4769
2,0.6640,3.492689421458E+01,1.248688453517E-01,9.4626
2,0.6650,3.485614552703E+01,1.239677185306E-01,9.4484
2,0.6660,3.478479503903E+01,1.230692977960E-01,9.4342
2,0.6670,3.471434444475E+01,1.221735709767E-01,9.4201
2,0.6680,3.464421956459E+01,1.212805259742E-01,9.4060
2,0.6690,3.457430073253E+01,1.203901507625E-01,9.3919
2,0.6700,3.450464637498E+01,1.195024333871E-01,9.3779
2,0.6710,3.443432679209E+01,1.185396414913E-01,9.3639
2,0.6720,3.436502395812E+01,1.175797150475E-01,9.3500
2,0.6730,3.429511038659E+01,1.166226412826E-01,9.3361
2,0.6740,3.422539844699E+01,1.156684074991E-01,9.3222
2,0.6750,3.415744819819E+01,1.147170010751E-01,9.3084
2,0.6760,3.408813707929E+01,1.137684094629E-01,9.2947
2,0.6770,3.401983492081E+01,1.128226201894E-01,9.2809
2,0.6780,3.395161224807E+01,1.118796208547E-01,9.2672
2,0.6790,3.388301750659E+01,1.109393991321E-01,9.2536
2,0.6800,3.381518860189E+01,1.100019427676E-01,9.2400
2,0.6810,3.374854870441E+01,1.091908734748E-01,9.2264
2,0.6820,3.368210056377E+01,1.083821826843E-01,9.2129
2,0.6830,3.361590261314E+01,1.075758599489E-01,9.1994
2,0.6840,3.354902635724E+01,1.067718948823E-01,9.1859
2,0.6850,3.348233943107E+01,1.059702771589E-01,9.1725
2,0.6860,3.341667492036E+01,1.051709965134E-01,9.1592
2,0.6870,3.335036433612E+01,1.043740427403E-01,9.1458
2,0.6880,3.328579974797E+01,1.035794056933E-01,9.1325
2,0.6890,3.321986238740E+01,1.027870752850E-01,9.1193
2,0.6900,3.315491935339E+01,1.019970414865E-01,9.1061
2,0.6910,3.309176309859E+01,1.012374822786E-01,9.0929
2,0.6920,3.302890334228E+01,1.004801183286E-01,9.0797
2,0.6930,3.296622084459E+01,9.972494013304E-02,9.0666
2,0.6940,3.290371797486E+01,9.897193824355E-02,9.0536
2,0.6950,3.284144694269E+01,9.822110326597E-02,9.0406
2,0.6960,3.277848327632E+01,9.747242586017E-02,9.0276
2,0.6970,3.271609971678E+01,9.672589673961E-02,9.0146
2,0.6980,3.265463587677E+01,9.598150667096E-02,9.0017
2,0.6990,3.259300135262E+01,9.523924647376E-02,8.9888
2,0.7000,3.253142052442E+01,9.449910701998E-02,8.9760
2,0.7010,3.246859646009E+01,9.394213535809E-02,8.9632
2,0.7020,3.240651419670E+01,9.338675051004E-02,8.9504
2,0.7030,3.234472299249E+01,9.283294570424E-02,8.9377
2,0.7040,3.228310373318E+01,9.228071420755E-02,8.9250
2,0.7050,3.222212024364E+01,9.173004932503E-02,8.9123
2,0.7060,3.215962963098E+01,9.118094439968E-02,8.8997
2,0.7070,3.209771425855E+01,9.063339281218E-02,8.8871
2,0.7080,3.203686300660E+01,9.008738798057E-02,8.8746
2,0.7090,3.197520135446E+01,8.954292336005E-02,8.8620
2,0.7100,3.191534769115E+01,8.899999244268E-02,8.8496
2,0.7110,3.185657756759E+01,8.849367208440E-02,8.8371
2,0.7120,3.179798061204E+01,8.798877397431E-02,8.8247
2,0.7130,3.173940118389E+01,8.748529212820E-02,8.8123
2,0.7140,3.168030457775E+01,8.698322059539E-02,8.8000
2,0.7150,3.162304055084E+01,8.648255345848E-02,8.7877
2,0.7160,3.156426135928E+01,8.598328483312E-02,8.7754
2,0.7170,3.150645007417E+01,8.548540886780E-02,8.7632
2,0.7180,3.144798555037E+01,8.498891974362E-02,8.7510
2,0.7190,3.139123247775E+01,8.449381167402E-02,8.7388
2,0.7200,3.133308017878E+01,8.400007890461E-02,8.7266
2,0.7210,3.127588996492E+01,8.329133361698E-02,8.7145
2,0.7220,3.121873599726E+01,8.258455161270E-02,8.7025
2,0.7230,3.116185402716E+01,8.187972474535E-02,8.6904
2,0.7240,3.110512523028E+01,8.117684491356E-02,8.6784
2,0.7250,3.104855209934E+01,8.047590406061E-02,8.6665
2,0.7260,3.099218684473E+01,7.977689417419E-02,8.6545
2,0.7270,3.093510739090E+01,7.907980728609E-02,8.6426
2,0.7280,3.087858349533E+01,7.838463547186E-02,8.6307
2,0.7290,3.082295403085E+01,7.769137085053E-02,8.6189
2,0.7300,3.076713142058E+01,7.700000558433E-02,8.6071
2,0.7310,3.071214577402E+01,7.639261726781E-02,8.5953
2,0.7320,3.065673893800E+01,7.578688848221E-02,8.5836
2,0.7330,3.060204422888E+01,7.518281243545E-02,8.5719
2,0.7340,3.054761218239E+01,7.458038237247E-02,8.5602
2,0.7350,3.049418911159E+01,7.397959157496E-02,8.5486
2,0.7360,3.043964299439E+01,7.338043336115E-02,8.5369
2,0.7370,3.038443060277E+01,7.278290108550E-02,8.5254
2,0.7380,3.033131800610E+01,7.218698813851E-02,8.5138
2,0.7390,3.027762454690E+01,7.159268794645E-02,8.5023
2,0.7400,3.022324200429E+01,7.099999397113E-02,8.4908
2,0.7410,3.016980587255E+01,7.044332579918E-02,8.4793
2,0.7420,3.011639172951E+01,6.988815808052E-02,8.4679
2,0.7430,3.006323506253E+01,6.933448475680E-02,8.4565
2,0.7440,3.001108169165E+01,6.878229980222E-02,8.4451
2,0.7450,2.995739685249E+01,6.823159722337E-02,8.4338
2,0.7460,2.990384978196E+01,6.768237105893E-02,8.4225
2,0.7470,2.985124861206E+01,6.713461537954E-02,8.4112
2,0.7480,2.979797558466E+01,6.658832428753E-02,8.4000
2,0.7490,2.974639068269E+01,6.604349191673E-02,8.3888
2,0.7500,2.969419494416E+01,6.550011243224E-02,8.3776
2,0.7510,2.964279744210E+01,6.489292191390E-02,8.3664
2,0.7520,2.959165002282E+01,6.428734626396E-02,8.3553
2,0.7530,2.954063423007E+01,6.368337904869E-02,8.3442
2,0.7540,2.948980849790E+01,6.308101386846E-02,8.3331
2,0.7550,2.943905751968E+01,6.248024435759E-02,8.3221
2,0.7560,2.938762866241E+01,6.188106418404E-02,8.3111
2,0.7570,2.933632932273E+01,6.128346704927E-02,8.3001
2,0.7580,2.928671012072E+01,6.068744668793E-02,8.2892
2,0.7590,2.923647344509E+01,6.009299686774E-02,8.2782
2,0.7600,2.918624698256E+01,5.950011138917E-02,8.2673
2,0.7610,2.913626598125E+01,5.904476839808E-02,8.2565
2,0.7620,2.908641206971E+01,5.859062053295E-02,8.2457
